date,area_type,area_code,area_name,metric,metric_name,value
2020-06-23,nation,S92000003,Scotland,newAdmissions,New admissions,5.0
2020-06-23,nation,E92000001,England,newAdmissions,New admissions,275.0
2020-06-23,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-23,nation,W92000004,Wales,newAdmissions,New admissions,79.0
2020-06-24,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-24,nation,W92000004,Wales,newAdmissions,New admissions,101.0
2020-06-24,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-06-24,nation,E92000001,England,newAdmissions,New admissions,262.0
2020-06-25,nation,W92000004,Wales,newAdmissions,New admissions,64.0
2020-06-25,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-25,nation,E92000001,England,newAdmissions,New admissions,256.0
2020-06-25,nation,S92000003,Scotland,newAdmissions,New admissions,2.0
2020-06-26,nation,W92000004,Wales,newAdmissions,New admissions,88.0
2020-06-26,nation,E92000001,England,newAdmissions,New admissions,248.0
2020-06-26,nation,S92000003,Scotland,newAdmissions,New admissions,0.0
2020-06-26,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-06-27,nation,W92000004,Wales,newAdmissions,New admissions,74.0
2020-06-27,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-27,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-06-27,nation,E92000001,England,newAdmissions,New admissions,209.0
2020-06-28,nation,E92000001,England,newAdmissions,New admissions,155.0
2020-06-28,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-06-28,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-06-28,nation,W92000004,Wales,newAdmissions,New admissions,47.0
2020-06-29,nation,E92000001,England,newAdmissions,New admissions,172.0
2020-06-29,nation,W92000004,Wales,newAdmissions,New admissions,46.0
2020-06-29,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-29,nation,S92000003,Scotland,newAdmissions,New admissions,1.0
2020-06-30,nation,W92000004,Wales,newAdmissions,New admissions,104.0
2020-06-30,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-30,nation,S92000003,Scotland,newAdmissions,New admissions,1.0
2020-06-30,nation,E92000001,England,newAdmissions,New admissions,189.0
2020-07-01,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-07-01,nation,W92000004,Wales,newAdmissions,New admissions,66.0
2020-07-01,nation,E92000001,England,newAdmissions,New admissions,201.0
2020-07-01,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-07-02,nation,S92000003,Scotland,newAdmissions,New admissions,1.0
